,country,year,born,male_born,female_born,birth_rate,fertility_rate,variation
0,Spain,2017,393181.0,202478.0,190703.0,841.0,1.31,-1.92
1,Germany,2017,784901.0,402517.0,382384.0,950.0,1.57,-1.88
2,United Kingdom,2017,754754.0,387030.0,367724.0,1140.0,1.74,-2.79
3,France,2017,770045.0,394058.0,375987.0,1150.0,1.89,-1.56
4,Italy,2017,458151.0,235733.0,222418.0,760.0,1.32,-1.49
5,Portugal,2017,86154.0,44072.0,42082.0,840.0,1.38,1.47
6,Usa,2017,0,0,0,1180.0,1.77,-3.02
7,Japan,2017,0,0,0,760.0,1.43,-0.69
8,China,2017,0,0,0,1264.0,1.68,0.48
9,Andorra,2016,634.0,364.0,373.0,880.0,1.27,6.72
10,United Arab Emirates,2017,0,0,0,1046.0,1.45,-2.88
11,Afghanistan,2017,0,0,0,3321.0,4.63,-3.48
12,Antigua Barbuda,2017,0,0,0,1553.0,2.0,-0.2
13,Albanian,2017,30869.0,16208.0,14661.0,1070.0,1.48,-3.9
14,Armenia,2017,37700.0,19731.0,17969.0,1270.0,1.56,-3.7
15,Angola,2017,0,0,0,4128.0,5.6,-1.51
16,Argentina,2017,0,0,0,1721.0,2.28,-0.57
17,Austria,2017,87633.0,45253.0,42380.0,1000.0,1.52,-0.65
18,Australia,2017,0,0,0,1260.0,1.74,-0.63
19,Azerbaijan,2017,144041.0,76584.0,67457.0,1460.0,1.75,-7.89
20,Bosnia Herzegovina,2017,29158.0,16790.0,15757.0,830.0,1.28,-0.78
21,Barbados,2017,0,0,0,1068.0,1.62,0.12
22,Bangladesh,2017,0,0,0,1850.0,2.06,-1.34
23,Belgium,2017,119690.0,61179.0,58511.0,1050.0,1.65,-1.79
24,Burkina Faso,2017,0,0,0,3842.0,5.27,-1.53
25,Bulgaria,2017,63955.0,32787.0,31168.0,900.0,1.56,1.3
26,Bahrain,2017,0,0,0,1437.0,2.01,-1.13
27,Burundi,2017,0,0,0,3965.0,5.5,-1.73
28,Benin,2017,0,0,0,3662.0,4.91,-1.43
29,Brunei,2017,0,0,0,1538.0,1.88,-1.78
30,Bolivian,2017,0,0,0,2208.0,2.78,-1.84
31,Brazil,2017,0,0,0,1413.0,1.74,-0.46
32,Bahamas,2017,0,0,0,1405.0,1.76,-0.51
33,Bhutan,2017,0,0,0,1746.0,1.99,-0.99
34,Botswana,2017,0,0,0,2540.0,2.91,-1.09
35,Belarus,2017,102556.0,52712.0,49844.0,1080.0,1.54,-10.98
36,Belize,2017,0,0,0,2108.0,2.35,-1.88
37,Canada,2017,388729.0,199381.0,189348.0,1030.0,1.54,-3.14
38,Democratic Republic Of Congo,2017,0,0,0,4173.0,6.02,-1.55
39,Central African Republic,2017,0,0,0,3566.0,4.8,-1.52
40,Republic Of Congo,2017,0,0,0,3338.0,4.48,-1.19
41,Swiss,2017,87381.0,44873.0,42508.0,1030.0,1.52,-1.3
42,Ivory Coast,2017,0,0,0,3599.0,4.7,-1.16
43,Chili,2017,0,0,0,1271.0,1.68,-2.04
44,Cameroon,2017,0,0,0,3590.0,4.64,-1.47
45,Colombia,2017,649742.0,333299.0,316443.0,1510.0,1.83,-0.98
46,Costa Rica,2017,0,0,0,1425.0,1.77,-0.95
47,Cuba,2017,0,0,0,1039.0,1.64,-1.15
48,Cape Verde,2017,0,0,0,1992.0,2.31,-1.58
49,Cyprus,2017,9229.0,4765.0,4464.0,1070.0,1.32,-3.65
50,Czech Republic,2017,114405.0,58671.0,55734.0,1080.0,1.69,3.68
51,Djibouti,2017,0,0,0,2194.0,2.79,-2.14
52,Denmark,2017,61397.0,31467.0,29930.0,1060.0,1.75,-2.23
53,Dominica,2017,0,0,0,960.0,1.9,0.0
54,Dominican Republic,2017,0,0,0,1980.0,2.37,-0.84
55,Algeria,2017,0,0,0,2485.0,3.05,-0.23
56,Ecuador,2017,0,0,0,1997.0,2.45,-0.97
57,Estonia,2017,13784.0,7191.0,6593.0,1050.0,1.59,-0.63
58,Egypt,2017,0,0,0,2705.0,3.37,-1.17
59,Eritrea,2017,0,0,0,3090.0,4.11,-1.25
60,Ethiopia,2017,0,0,0,3278.0,4.35,-2.38
61,Finland,2017,50321.0,25674.0,24647.0,910.0,1.49,-5.1
62,Fiji,2017,0,0,0,2156.0,2.79,-0.32
63,Federated States Of Micronesia,2017,0,0,0,2294.0,3.1,-1.49
64,Gabon,2017,0,0,0,3216.0,4.01,-0.77
65,Grenade,2017,0,0,0,1670.0,2.08,-1.0
66,Georgia,2017,53293.0,27658.0,25635.0,1430.0,2.14,-4.04
67,Ghana,2017,0,0,0,2984.0,3.93,-1.46
68,Gambia,2017,0,0,0,3897.0,5.28,-1.07
69,Guinea,2017,0,0,0,3677.0,4.78,-1.59
70,Equatorial Guinea,2017,0,0,0,3373.0,4.6,-1.86
71,Greece,2017,88553.0,45686.0,42867.0,820.0,1.35,-2.17
72,Guatemala,2017,0,0,0,2491.0,2.92,-1.78
73,Guinea-Bissau,2017,0,0,0,3570.0,4.55,-1.68
74,Guyana,2017,0,0,0,2020.0,2.49,-0.96
75,Hong Kong,2017,0,0,0,770.0,1.13,-6.64
76,Honduras,2017,0,0,0,2186.0,2.5,-1.58
77,Croatia,2017,36556.0,18845.0,17711.0,890.0,1.42,0.0
78,Haiti,2017,0,0,0,2475.0,2.99,-1.81
79,Hungary,2017,94646.0,48591.0,46055.0,970.0,1.54,0.65
80,Indonesia,2017,0,0,0,1842.0,2.34,-1.1
81,Ireland,2017,61824.0,31779.0,30045.0,1290.0,1.77,-2.21
82,Israel,2017,0,0,0,2110.0,3.11,0.0
83,India,2017,0,0,0,1808.0,2.24,-1.02
84,Iraq,2017,0,0,0,2969.0,3.76,-2.64
85,Iran,2017,0,0,0,1901.0,2.12,1.58
86,Iceland,2017,4071.0,2112.0,1959.0,1190.0,1.71,-1.72
87,Jamaica,2017,0,0,0,1629.0,1.99,-0.8
88,Jordan,2017,0,0,0,2262.0,2.85,-3.55
89,Kenya,2017,0,0,0,2930.0,3.57,-2.48
90,Kyrgyzstan,2017,0,0,0,2480.0,3.0,-3.23
91,Cambodia,2017,0,0,0,2289.0,2.53,-1.13
92,Kiribati,2017,0,0,0,2829.0,3.61,-1.12
93,Comoros,2017,0,0,0,3237.0,4.28,-1.66
94,Saint Kitts Nevis,2014,0,0,0,1260.0,2.11,-12.21
95,North Korea,2017,0,0,0,1391.0,1.91,-0.31
96,South Korea,2017,357771.0,0,0,700.0,1.05,-10.24
97,Kuwait,2017,0,0,0,1465.0,2.08,0.05
98,Kazakhstan,2017,0,0,0,2164.0,2.75,-0.72
99,Laos,2017,0,0,0,2396.0,2.71,-1.53
100,Lebanon,2017,0,0,0,1767.0,2.1,-0.33
101,St. Lucia,2017,0,0,0,1214.0,1.45,-0.89
102,Liechtenstein,2017,338.0,176.0,162.0,890.0,1.44,-10.56
103,Sri Lanka,2017,0,0,0,1611.0,2.21,-0.23
104,Liberia,2017,0,0,0,3343.0,4.39,-1.66
105,Lesotho,2017,0,0,0,2717.0,3.17,-0.81
106,Lithuania,2017,28696.0,14775.0,13921.0,1010.0,1.63,-3.55
107,Luxembourg,2017,6174.0,3171.0,3003.0,1040.0,1.39,-1.42
108,Latvia,2017,20828.0,10797.0,10031.0,1070.0,1.69,-2.87
109,Libya,2017,0,0,0,1938.0,2.28,-1.73
110,Morocco,2017,0,0,0,1940.0,2.45,-1.53
111,Monaco,2016,295.0,0,0,462.0,432.0,7.8
112,Moldova,2017,36640.0,19304.0,18090.0,1330.0,1.26,0.0
113,Montenegro,2017,7432.0,3873.0,3559.0,1190.0,1.78,-0.56
114,Madagascar,2017,0,0,0,3290.0,4.13,-1.29
115,Marshall Islands,2011,0,0,0,2900.0,4.05,-10.0
116,North Macedonia,2017,21754.0,11160.0,10594.0,1050.0,1.43,-4.67
117,Mali,2017,0,0,0,4208.0,5.97,-1.47
118,Myanmar,2017,0,0,0,1770.0,2.17,-0.64
119,Mongolia,2017,0,0,0,2483.0,2.91,-0.31
120,Mauritania,2017,0,0,0,3413.0,4.62,-1.28
121,Malt,2017,4319.0,2215.0,2104.0,920.0,1.26,-8.03
122,Mauricio,2017,0,0,0,1070.0,1.44,2.86
123,Maldives,2017,0,0,0,1489.0,1.91,-2.11
124,Malawi,2017,0,0,0,3459.0,4.3,-2.38
125,Mexico,2017,2234039.0,1134349.0,1099674.0,1792.0,2.16,-1.33
126,Malaysia,2017,0,0,0,1687.0,2.02,-0.88
127,Mozambique,2017,0,0,0,3788.0,4.92,-1.4
128,Namibia,2017,0,0,0,2911.0,3.45,-1.4
129,Niger,2017,0,0,0,4654.0,7.0,-1.21
130,Nigeria,2017,0,0,0,3838.0,5.46,-1.25
131,Nicaragua,2017,0,0,0,2106.0,2.43,-1.02
132,Netherlands,2017,169836.0,87159.0,82677.0,990.0,1.62,-2.41
133,Norway,2017,56633.0,29173.0,27460.0,1070.0,1.62,-5.26
134,Nepal,2017,0,0,0,2020.0,1.97,-2.96
135,New Zealand,2017,0,0,0,1238.0,1.81,-3.21
136,Oman,2017,0,0,0,1979.0,2.92,-0.58
137,Panama,2017,0,0,0,1926.0,2.49,-1.07
138,Peru,2017,610316.0,0,0,1970.0,2.28,-0.96
139,Papua New Guinea,2017,0,0,0,2736.0,3.61,-1.29
140,Philippines,2017,0,0,0,2104.0,2.64,-2.87
141,Pakistan,2017,0,0,0,2860.0,3.56,-1.38
142,Poland,2017,401982.0,206410.0,195572.0,1060.0,1.48,6.47
143,State Of Palestine,2017,0,0,0,2991.0,3.74,-2.76
144,Palau,2017,0,0,0,1240.0,2.21,-0.9
145,Paraguayan,2017,0,0,0,2079.0,2.45,-1.05
146,Taste,2017,0,0,0,970.0,1.89,-1.1
147,Romania,2017,210590.0,108146.0,102444.0,1080.0,1.78,5.33
148,Serbian,2017,64894.0,33321.0,31573.0,920.0,1.49,2.05
149,Russia,2017,1940579.0,984552.0,928920.0,1150.0,1.62,-8.0
150,Rwanda,2017,0,0,0,3206.0,4.09,-0.85
151,Saudi Arabia,2017,0,0,0,1832.0,2.37,-2.55
152,Solomon Islands,2017,0,0,0,3288.0,4.43,-0.4
153,Seychelles,2017,0,0,0,1720.0,2.41,0.84
154,Sudan,2017,0,0,0,3254.0,4.47,-1.39
155,Sweden,2017,115416.0,59256.0,56160.0,1150.0,1.78,-3.78
156,Singapore,2017,0,0,0,890.0,1.16,-3.33
157,Slovenia,2017,20241.0,10483.0,9758.0,980.0,1.62,2.53
158,Slovakia,2017,57969.0,29773.0,28196.0,1070.0,1.52,2.7
159,Sierra Leone,2017,0,0,0,3394.0,4.36,-2.2
160,San Marino,2017,228.0,121.0,107.0,670.0,1.26,0.0
161,Senegal,2017,0,0,0,3512.0,4.7,-1.53
162,Somalia,2017,0,0,0,4192.0,6.17,-1.55
163,Surinam,2017,0,0,0,1879.0,2.44,-1.05
164,South Sudan,2017,0,0,0,3537.0,4.78,-1.65
165,Sao Tome Principe,2017,0,0,0,3197.0,4.37,-1.17
166,The Savior,2017,0,0,0,1843.0,2.06,-0.96
167,Syria,2017,0,0,0,2412.0,2.85,-1.45
168,Swatini,2017,0,0,0,2677.0,3.02,-0.76
169,Chad,2017,0,0,0,4268.0,5.85,-1.7
170,Togo,2017,0,0,0,3355.0,4.38,-1.46
171,Thailand,2017,0,0,0,1051.0,1.53,-0.33
172,Tajikistan,2017,0,0,0,3136.0,3.61,-0.33
173,East Timor,2017,0,0,0,2945.0,4.09,-1.52
174,Turkmenistan,2017,0,0,0,2462.0,2.84,-1.77
175,Tunisia,2017,0,0,0,1801.0,2.22,-0.85
176,Tonga,2017,0,0,0,2463.0,3.6,-1.13
177,Turkiye,2017,1291055.0,662928.0,628127.0,1610.0,2.07,-1.9
178,Trinidad Tobago,2017,0,0,0,1330.0,1.74,-0.8
179,Tanzania,2017,0,0,0,3708.0,4.95,-1.24
180,Ukraine,2017,363987.0,187528.0,176459.0,860.0,1.26,-6.67
181,Uganda,2017,0,0,0,3895.0,5.1,-2.8
182,Uruguay,2017,48200.0,0,0,1396.0,1.98,-0.4
183,Uzbekistan,2017,0,0,0,2210.0,2.42,-1.47
184,Saint Vincent The Grenadines,2017,0,0,0,1440.0,1.91,-1.04
185,Venezuela,2017,615132.0,316884.0,298248.0,1823.0,2.29,-0.99
186,Vietnam,2017,0,0,0,1698.0,2.04,0.59
187,Vanuatu,2017,0,0,0,3002.0,3.82,-1.01
188,Samoa,2017,0,0,0,2469.0,3.93,-1.26
189,Yemen,2017,0,0,0,3104.0,3.89,-2.6
190,South Africa,2017,0,0,0,2091.0,2.43,-1.1
191,Zambia,2017,0,0,0,3670.0,4.72,-1.99
192,Zimbabwe,2017,0,0,0,3173.0,3.71,-2.55
193,Spain,2018,372777.0,191569.0,181208.0,7.94,1.26,-3.67
194,Germany,2018,787523.0,404052.0,383471.0,9.5,1.57,0.0
195,United Kingdom,2018,730918.0,375379.0,355539.0,11.0,1.68,-3.45
196,France,2018,759199.0,388944.0,370255.0,11.3,1.87,-1.06
197,Italy,2018,439747.0,226217.0,213530.0,7.3,1.29,-2.27
198,Portugal,2018,87020.0,44309.0,42711.0,8.5,1.42,2.9
199,Usa,2018,0,0,0,11.6,1.73,-2.04
200,Japan,2018,0,0,0,7.4,1.42,-0.7
201,China,2018,0,0,0,10.86,1.69,0.42
202,Andorra,2018,543.0,293.0,250.0,7.2,1.27,6.72
203,United Arab Emirates,2018,0,0,0,10.33,1.41,-2.42
204,Afghanistan,2018,0,0,0,32.49,4.47,-3.45
205,Antigua Barbuda,2018,0,0,0,15.33,1.99,-0.25
206,Albanian,2018,28934.0,15025.0,13909.0,10.1,1.37,-7.43
207,Armenia,2018,36574.0,19252.0,17322.0,12.3,1.57,0.64
208,Angola,2018,0,0,0,40.73,5.52,-1.45
